Terawatt-hours,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Eastern Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,-,^,^,^,^,^,^,^,^,^,^,0.2,0.3,0.4,0.8,0.9,0.8,0.9,2.2,2.0,2.7,2.82,2.92,2.96
Middle Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,0.01,0.01,0.01
Western Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.4,0.6,0.60,0.99,1.00
Other Northern Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.2,0.4,0.5,0.4,0.5,0.4,0.5,0.5,0.5,0.4,0.32,0.34,0.34
Other Southern Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,0.2,0.4,0.4,0.5,0.8,0.8,0.9,1.0,1.3,1.6,2.3,2.4,2.5,3.6,5.1,8.9,11.2,13.6,14.8,19.3,19.1,23.0,24.72,28.41,29.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,0.1,0.3,0.5,0.7,0.8,1.3,2.2,2.9,3.5,4.4,5.0,6.4,7.7,9.3,9.8,11.8,13.0,13.2,16.3,19.5,22.6,26.8,30.05,31.87,32.74
Bangladesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.02,0.10
China,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,0.1,0.2,0.4,0.6,0.1,0.2,0.4,0.5,0.6,0.7,0.8,1.0,1.3,1.9,3.7,5.5,13.1,27.6,49.4,74.1,103.0,138.3,159.8,185.6,240.9,304.6,365.8,405.3,466.5,655.8,762.67,885.87,997.04
China Hong Kong SAR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
India,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,0.1,0.1,0.1,0.2,0.5,0.9,1.0,1.1,1.4,1.6,2.1,2.1,2.6,5.2,6.0,9.3,11.7,14.4,16.3,19.5,24.0,27.4,30.0,33.5,32.7,43.5,52.6,60.3,63.3,60.4,68.1,70.05,82.11,81.54
Indonesia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,-,^,^,-,0.2,0.5,0.5,0.4,0.36,0.48,0.48
Japan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,0.1,0.3,0.4,0.8,1.4,1.9,2.1,2.7,2.9,3.4,3.9,4.5,4.7,5.1,5.0,5.2,5.3,6.2,7.4,7.5,8.4,9.5,9.42,9.96,11.54
Malaysia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
New Zealand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,0.1,0.1,0.2,0.1,0.4,0.6,0.6,0.9,1.1,1.5,1.6,2.0,2.1,2.0,2.2,2.4,2.3,2.1,2.1,2.3,2.3,2.6,2.87,3.24,3.96
Pakistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,0.2,0.3,0.6,0.9,1.8,2.8,3.1,2.7,3.4,4.64,4.38,3.48
Philippines,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.7,1.0,1.1,1.2,1.0,1.0,1.3,1.05,1.33,1.30
Singapore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Korea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,-,-,^,^,^,^,^,^,^,^,0.1,0.2,0.4,0.4,0.7,0.8,0.9,0.9,1.1,1.1,1.3,1.7,2.2,2.5,2.7,3.1,3.2,3.37,3.39,3.36
Sri Lanka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.7,0.74,0.78,0.78
Taiwan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,0.1,0.3,0.4,0.6,0.8,1.0,1.5,1.4,1.6,1.5,1.5,1.5,1.7,1.7,1.9,2.3,2.3,3.58,6.24,10.33
Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,0.4,0.4,0.3,0.4,1.1,1.6,3.7,3.2,3.5,2.99,3.74,3.38
Vietnam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,0.1,0.1,0.1,0.2,0.4,0.5,0.7,1.0,3.3,9.09,11.59,12.75
Other Asia Pacific,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.6,0.54,0.57,0.60
Total Asia Pacific,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,0.1,0.2,0.3,0.6,1.1,1.0,1.2,1.5,2.1,2.6,3.5,4.1,5.3,9.2,12.0,18.6,24.6,36.1,54.8,81.5,113.6,147.7,188.5,214.3,243.0,311.2,387.5,463.0,512.3,575.0,781.6,901.41,1045.56,1163.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total World,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,0.1,0.1,0.2,0.3,2.6,3.6,4.1,4.7,5.7,7.1,8.3,9.2,12.0,15.9,21.2,31.4,38.4,52.4,63.3,85.6,104.6,133.5,171.5,221.4,276.8,346.4,440.9,530.8,635.9,706.2,831.8,962.7,1142.5,1271.2,1422.3,1595.8,1860.6,2110.13,2322.74,2511.03
of which: OECD,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,0.1,0.1,0.2,0.3,2.6,3.6,4.0,4.5,5.4,6.5,7.1,8.2,10.8,14.4,19.2,28.9,34.9,48.7,58.8,78.0,95.4,118.6,151.6,190.1,228.2,269.9,332.3,384.4,444.7,480.1,561.0,609.6,700.7,747.9,833.9,939.2,977.4,1096.84,1145.21,1202.86
                 Non-OECD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,0.1,0.2,0.3,0.6,1.1,1.0,1.2,1.5,2.0,2.5,3.4,3.7,4.4,7.6,9.3,14.9,19.9,31.3,48.6,76.5,108.7,146.5,191.2,226.1,270.8,353.0,441.8,523.3,588.3,656.5,883.2,1013.30,1177.52,1308.17
                 European Union #,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,0.1,0.1,0.2,0.3,0.5,0.8,1.0,1.5,2.1,2.6,3.5,4.3,6.6,10.3,13.4,21.4,25.8,35.1,43.3,57.5,68.1,78.7,99.9,113.2,124.3,139.2,165.1,187.7,209.9,221.1,263.6,267.3,312.9,321.3,365.3,398.7,387.6,422.32,480.07,489.57
