Terawatt-hours,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.2,0.4,0.5,0.6,1.0,1.3,2.3,2.8,3.7,4.6,5.6,5.4,6.5,7.6,9.8,12.8,12.0,12.35,15.44,13.17
Bulgaria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,0.1,0.2,0.7,0.9,1.2,1.4,1.3,1.5,1.4,1.5,1.3,1.3,1.5,1.4,1.50,1.58,1.38
Croatia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,0.1,0.1,0.2,0.3,0.5,0.7,0.8,1.0,1.2,1.3,1.5,1.7,2.1,2.14,2.59,2.68
Cyprus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.21,0.20
Czech Republic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,0.1,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.7,0.6,0.64,0.70,0.70
Denmark,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,0.1,0.1,0.2,0.3,0.4,0.6,0.7,0.9,1.0,1.1,1.2,1.2,1.9,2.8,3.0,4.2,4.3,4.9,5.6,6.6,6.6,6.1,7.2,6.9,6.7,7.8,9.8,10.3,11.1,13.1,14.1,12.8,14.8,13.9,16.1,16.3,16.1,19.02,19.39,20.56
Estonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.6,0.7,0.6,0.7,0.8,0.7,0.67,0.68,1.05
Finland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.5,0.8,1.1,2.3,3.1,4.8,5.8,6.0,8.3,8.5,12.02,15.04,20.66
France,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.1,0.3,0.4,0.6,1.0,2.2,4.1,5.7,7.9,9.9,12.6,15.4,16.4,17.6,21.8,21.7,25.0,29.1,35.3,40.5,37.5,38.86,51.40,47.15
Germany,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,0.1,0.1,0.3,0.6,0.9,1.5,2.0,3.0,4.5,5.5,9.5,10.5,15.8,19.1,26.0,27.8,31.3,40.5,41.4,39.4,38.5,49.9,51.7,52.7,58.5,80.6,79.9,105.7,110.0,125.9,132.1,114.6,124.82,141.76,138.86
Greece,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.1,0.2,0.5,0.8,0.7,1.0,1.1,1.3,1.7,1.8,2.2,2.5,2.7,3.3,3.9,4.1,3.7,4.6,5.1,5.5,6.3,7.3,9.3,10.5,10.88,11.02,11.95
Hungary,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,0.1,0.2,0.3,0.5,0.6,0.8,0.7,0.7,0.7,0.7,0.8,0.6,0.7,0.7,0.7,0.61,0.65,0.66
Iceland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,-,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01
Ireland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.7,1.1,1.6,2.0,2.4,3.0,2.8,4.4,4.0,4.5,5.1,6.6,6.2,7.6,8.8,10.2,11.7,9.9,11.39,11.86,11.62
