Terawatt-hours,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
China,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.7,2.6,3.6,8.4,23.5,39.5,66.5,117.8,176.9,224.0,261.1,327.0,427.27,584.15,839.04
China Hong Kong SAR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.18,0.32,0.32
India,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.8,2.1,3.4,4.9,7.1,12.2,22.4,37.5,47.7,60.4,70.2,97.45,116.13,136.75
Indonesia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.2,0.2,0.44,0.71,0.92
Japan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,0.1,0.1,0.1,0.2,0.3,0.5,0.7,1.0,1.3,1.6,2.0,2.3,2.6,3.0,4.0,5.4,7.4,12.9,23.5,34.5,43.3,54.0,61.2,67.4,75.9,84.2,91.07,96.36,96.70
Malaysia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,0.1,0.2,0.3,0.3,0.3,0.6,1.5,2.1,2.1,2.79,3.28,3.52
New Zealand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.2,0.2,0.29,0.37,0.61
Pakistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,0.1,0.1,0.2,0.4,0.4,0.7,0.7,0.7,0.7,0.7,0.85,1.29,1.66
Philippines,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,0.1,1.1,1.2,1.2,1.2,1.4,1.5,1.83,2.55,3.79
Singapore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.2,0.3,0.4,0.67,0.93,1.27
South Korea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.3,0.6,0.8,0.9,1.1,1.7,2.7,4.2,5.5,7.7,10.2,14.2,19.3,24.7,30.73,33.24,32.72
Sri Lanka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.2,0.3,0.5,0.8,1.1,1.42,1.70,2.58
Taiwan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.1,0.2,0.3,0.5,0.9,1.1,1.7,2.7,4.0,6.1,8.0,10.68,12.91,14.90
Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,0.1,0.1,0.5,1.3,1.9,2.4,3.6,4.5,4.5,5.1,5.0,5.0,5.03,5.14,5.43
Vietnam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,4.8,10.8,26.2,25.75,25.69,25.86
Other Asia Pacific,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.7,0.9,1.2,1.6,2.00,2.27,2.73
Total Asia Pacific,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.8,1.1,1.5,1.8,2.3,2.7,3.3,4.4,6.7,12.2,17.6,32.5,63.0,96.2,142.4,220.5,309.6,391.2,469.8,585.0,736.62,932.97,1220.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total World,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1.1,1.4,1.8,2.3,3.0,4.2,5.8,7.8,12.7,21.1,33.9,65.7,101.5,138.6,197.3,256.5,328.0,445.9,575.6,706.5,857.3,1052.8,1322.65,1650.90,2111.73
of which: OECD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1.0,1.4,1.7,2.1,2.8,4.0,5.5,7.5,12.3,20.5,32.6,61.0,92.3,120.6,159.1,195.0,228.4,278.0,324.0,375.6,449.9,535.7,653.55,761.53,898.10
                 Non-OECD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.6,1.3,4.7,9.2,18.0,38.2,61.5,99.6,167.9,251.5,330.9,407.4,517.1,669.09,889.37,1213.64
                 European Union #,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.2,0.3,0.4,0.7,1.5,2.5,3.8,7.5,14.2,23.4,46.7,70.2,83.4,92.8,99.7,100.0,106.7,113.3,124.0,144.3,162.5,209.22,251.91,302.91
